t,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6
2.64099999999982,0.0,0.0,0.05040000000000658,0.0,2.098730084956287e-14,0.0,0.0,0.0,5.416614633847154e-15,0.0,1.6222805062495955e-14,0.0
2.64199999999982,0.0,0.0,0.050400000000006585,0.0,2.100353053195366e-14,0.0,0.0,0.0,5.418808547483895e-15,0.0,1.6236559719089506e-14,0.0
2.64299999999982,0.0,0.0,0.05040000000000659,0.0,2.1019773969001046e-14,0.0,0.0,0.0,5.420975570937518e-15,0.0,1.6248882418777218e-14,0.0
2.64399999999982,0.0,0.0,0.0504000000000066,0.0,2.1036025432877404e-14,0.0,0.0,0.0,5.423008143475554e-15,0.0,1.6254045333935737e-14,0.0
2.6449999999998197,0.0,0.0,0.050400000000006606,0.0,2.105228205966892e-14,0.0,0.0,0.0,5.42504071601359e-15,0.0,1.6259208249094256e-14,0.0
2.6459999999998196,0.0,0.0,0.05040000000000661,0.0,2.1068543849375592e-14,0.0,0.0,0.0,5.427073288551626e-15,0.0,1.6264371164252775e-14,0.0
2.6469999999998195,0.0,0.0,0.05040000000000662,0.0,2.1084810801997423e-14,0.0,0.0,0.0,5.4291058610896626e-15,0.0,1.6269534079411294e-14,0.0
2.6479999999998194,0.0,0.0,0.05040000000000663,0.0,2.1101082917534412e-14,0.0,0.0,0.0,5.431138433627699e-15,0.0,1.6274696994569813e-14,0.0
2.6489999999998193,0.0,0.0,0.050400000000006634,0.0,2.111736019598656e-14,0.0,0.0,0.0,5.433171006165735e-15,0.0,1.627985990972833e-14,0.0
2.649999999999819,0.0,0.0,0.05040000000000664,0.0,2.1133642637353868e-14,0.0,0.0,0.0,5.435203578703771e-15,0.0,1.628502282488685e-14,0.0
2.650999999999819,0.0,0.0,0.05040000000000665,0.0,2.1149930241636334e-14,0.0,0.0,0.0,5.437236151241807e-15,0.0,1.629018574004537e-14,0.0
2.651999999999819,0.0,0.0,0.050400000000006655,0.0,2.116622300883396e-14,0.0,0.0,0.0,5.4392687237798436e-15,0.0,1.629534865520389e-14,0.0
2.652999999999819,0.0,0.0,0.05040000000000666,0.0,2.1182520938946743e-14,0.0,0.0,0.0,5.44130129631788e-15,0.0,1.6300511570362407e-14,0.0
2.6539999999998187,0.0,0.0,0.05040000000000667,0.0,2.1198824031974685e-14,0.0,0.0,0.0,5.443333868855916e-15,0.0,1.6305674485520926e-14,0.0
2.6549999999998186,0.0,0.0,0.050400000000006676,0.0,2.1215132287917787e-14,0.0,0.0,0.0,5.445366441393952e-15,0.0,1.6310837400679445e-14,0.0
2.6559999999998185,0.0,0.0,0.05040000000000668,0.0,2.1231445706776047e-14,0.0,0.0,0.0,5.447399013931988e-15,0.0,1.6316000315837964e-14,0.0
2.6569999999998184,0.0,0.0,0.05040000000000669,0.0,2.1247764288549463e-14,0.0,0.0,0.0,5.4494315864700245e-15,0.0,1.6321163230996483e-14,0.0
