t,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,tau1,tau2,tau3,tau4,tau5,tau6
5.0390000000000175,-0.7229839356551535,0.2234276887921815,0.19124571429969983,2.2464156173730743,1.0119588422855519,-2.5571209821930863,3.6947528647938684e-06,5.393346192958518e-06,1.2628263490162972e-05,-1.2546050482018928e-05,1.9607995098394927e-05,-7.057487043292396e-06,-1.6517583096924245e-05,89.27099232193352,-35.37735971408232,1.128995843658929,2.0126516377383727,3.069573960198015e-08
5.040000000000018,-0.7229839319640903,0.2234276941793396,0.19124572691163064,2.2464156048599304,1.0119588618437618,-2.5571209892365054,3.6873468729709374e-06,5.380973774354365e-06,1.259560539227535e-05,-1.2480534103943279e-05,1.950855170351529e-05,-7.0291935250806575e-06,-1.6484237044004343e-05,89.27099229306664,-35.377359554110804,1.128995863603139,2.012651632883849,3.0570287081932885e-08
5.041000000000018,-0.7229839282804408,0.22342769955413258,0.19124573949093382,2.2464155924121285,1.011958881302768,-2.5571209962516672,3.6799253686649973e-06,5.368615916441767e-06,1.2563008183093044e-05,-1.241536524189422e-05,1.9409586971049602e-05,-7.000973353415127e-06,-1.6450784326558596e-05,89.27099226457455,-35.377359393860715,1.1289958834418048,2.01265162804018,3.0445240516380245e-08
5.0420000000000185,-0.7229839246042205,0.22342770491657502,0.19124575203767027,2.2464155800293217,1.011958900663048,-2.5571210032386453,3.6724886883883126e-06,5.356272698180069e-06,1.2530471891837631e-05,-1.2350542094951397e-05,1.931109872898549e-05,-6.972826649602564e-06,-1.6417226980471384e-05,89.27099223645448,-35.37735923333654,1.1289959031755097,2.0126516232072778,3.0320599535070665e-08
5.043000000000019,-0.7229839209354443,0.2234277102666816,0.19124576455190093,2.2464155677111655,1.0119589199250774,-2.557121010197513,3.6650371656932326e-06,5.343944197665842e-06,1.2497996546533676e-05,-1.2286062871198054e-05,1.9213084814128127e-05,-6.9447535309358805e-06,-1.6383567024974512e-05,89.27099220870372,-35.37735907254275,1.1289959228048345,2.012651618385058,3.0196363743832095e-08
5.044000000000019,-0.722983917274127,0.2234277156044671,0.19124577703368673,2.2464155554573164,1.011958939089329,-2.557121017128344,3.6575711311810545e-06,5.33163049214285e-06,1.2465582174022403e-05,-1.2221925787766264e-05,1.9115543072166365e-05,-6.916754110719282e-06,-1.6349806458941655e-05,89.27099218131957,-35.37735891148379,1.1289959423303562,2.0126516135734347,3.00725327486851e-08
5.0450000000000195,-0.7229839136202829,0.22342772092994634,0.19124578948308868,2.2464155432674335,1.0119589581562745,-2.557121024031212,3.6500909125272277e-06,5.319331658009443e-06,1.243322879997305e-05,-1.2158129070789534e-05,1.901847135760987e-05,-6.888828498293004e-06,-1.6315947268670996e-05,89.27099215429932,-35.377358750164056,1.1289959617526495,2.0126516087723236,2.994910613980018e-08
5.04600000000002,-0.722983909973926,0.22342772624313423,0.1912458019001678,2.2464155311411775,1.0119589771263824,-2.557121030906191,3.6425968345077753e-06,5.307047770812803e-06,1.2400936448879764e-05,-1.2094670955227894e-05,1.8921867533718607e-05,-6.860976799158598e-06,-1.6281991415882047e-05,89.27099212764031,-35.37735858858794,1.1289959810722845,2.0126516039816424,2.982608349581462e-08
5.04700000000002,-0.72298390633507,0.22342773154404574,0.1912458142849851,2.2464155190782105,1.0119589960001196,-2.5571210377533546,3.635089219010615e-06,5.2947789052682025e-06,1.2368705144082596e-05,-1.2031549685029325e-05,1.8825729472512364e-05,-6.83319911491703e-06,-1.6247940848988147e-05,89.27099210133989,-35.3773584267598,1.1289960002898294,2.012651599201309,2.970346439588499e-08
5.0480000000000205,-0.7229839027037284,0.22342773683269596,0.19124582663760165,2.246415507078196,1.0119590147779511,-2.5571210445727774,3.627568385062742e-06,5.282525135253671e-06,1.2336534907767108e-05,-1.1968763512915626e-05,1.8730055054753262e-05,-6.805495543381154e-06,-1.621379749645447e-05,89.2709920753954,-35.37735826468395,1.1289960194058495,2.0126515944312415,2.958124840776696e-08
5.049000000000021,-0.722983899079914,0.2234277421091,0.19124583895807853,2.2464154951408006,1.0119590334603392,-2.5571210513645335,3.6200346488525103e-06,5.2702865338227065e-06,1.2304425760980179e-05,-1.1906310700381588e-05,1.8634842169878632e-05,-6.7778661785995586e-06,-1.6179563270015214e-05,89.27099204980424,-35.37735810236468,1.1289960384209055,2.01265158967136,2.9459435083823736e-08
5.050000000000021,-0.7229838954636398,0.22342774737327306,0.19124585124647683,2.2464154832656917,1.0119590520477444,-2.557121058128697,3.6124883237405e-06,5.258063173209101e-06,1.227237772364107e-05,-1.1844189517738344e-05,1.8540088716028856e-05,-6.750311110865198e-06,-1.6145240058685853e-05,89.27099202456377,-35.377357939806274,1.1289960573355549,2.0126515849215862,2.933802396533871e-08
